"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month,Year
Citi Bank Apps,0.08,66.03,0.08,66.03,4,2022
Citi Bank Apps,0.13,78.71,0.13,78.71,5,2022
Citi Bank Apps,0.13,63.54,0.13,63.54,6,2022
Citi Bank Apps,0.11,63.66,0.11,63.66,7,2022
City Union Bank App,0.02,4.92,0.02,4.92,1,2022
City Union Bank App,0.02,5.49,0.02,5.49,2,2022
City Union Bank Apps,0.03,7.3,0.03,7.3,3,2022
City Union Bank Apps,0.03,8.41,0.03,8.41,4,2022
City Union Bank Apps,0.03,10.06,0.03,10.06,5,2022
City Union Bank Apps,0.03,8.72,0.03,8.72,6,2022
City Union Bank Apps,0.03,10.19,0.03,10.19,7,2022
Cointab,1.21,179.22,1.21,179.22,1,2022
Cointab,1.73,280.57,1.73,280.57,2,2022
Cointab,0.08,33.22,0.08,33.22,3,2022
Cointab,0.07,28.5,0.07,28.5,4,2022
Cointab,0.06,23.77,0.06,23.77,5,2022
Cointab,0.06,23.99,0.06,23.99,6,2022
Cointab,0.07,27.3,0.07,27.3,7,2022
Cred,10.68,"14,189.86",10.68,"14,189.86",1,2022
Cred,10.08,"13,364.09",10.08,"13,364.09",2,2022
Cred,12.11,"16,136.11",12.11,"16,136.11",3,2022
Cred,13.05,"16,372.92",13.05,"16,372.92",4,2022
Cred,13.89,"18,174.61",13.89,"18,174.61",5,2022
Cred,13.4,"17,583.25",13.4,"17,583.25",6,2022
Cred,14.89,"19,716.43",14.89,"19,716.43",7,2022
DBS Digibank App,0.51,186.79,0.51,186.79,1,2022
DBS Digibank App,0.46,173.63,0.46,173.63,2,2022
DBS Digibank Apps,0.49,185.52,0.49,185.52,3,2022
DBS Digibank Apps,0.47,175.45,0.47,175.45,4,2022
DBS Digibank Apps,0.47,186.33,0.47,186.33,5,2022
DBS Digibank Apps,0.46,171.69,0.46,171.69,6,2022
DBS Digibank Apps,0.47,179.27,0.47,179.27,7,2022
Dena Bank App,0.02,26.5,0.02,26.5,1,2022
Dena Bank App,0.02,23.93,0.02,23.93,2,2022
Dena Bank Apps,0.02,29.32,0.02,29.32,3,2022
Deutsche Bank App,0.92,61.95,0.92,62.08,1,2022
Deutsche Bank App,0.87,70.43,0.87,70.43,2,2022
Deutsche Bank Apps,1.02,91.66,1.02,93.02,3,2022
Deutsche Bank Apps,1.51,128.13,1.51,128.43,4,2022
Deutsche Bank Apps,1.64,116.54,1.64,116.55,5,2022
Deutsche Bank Apps,1.51,99.12,1.51,99.12,6,2022
Deutsche Bank Apps,1.87,116,1.87,116.01,7,2022
Dhanlaxmi Bank App,0.01,2.95,0.01,2.95,1,2022
Dhanlaxmi Bank App,0.01,2.83,0.01,2.83,2,2022
Dhanlaxmi Bank Apps,0.01,3.29,0.01,3.29,3,2022
Dhanlaxmi Bank Apps,0.01,3.02,0.01,3.02,4,2022
Dhanlaxmi Bank Apps,0.01,3.35,0.01,3.35,5,2022
Dhanlaxmi Bank Apps,0.01,2.7,0.01,2.7,6,2022
Dhanlaxmi Bank Apps,0.01,2.86,0.01,2.86,7,2022
Equitas Small Finance Bank Apps,0.01,3.87,0.01,3.87,6,2022
Equitas Small Finance Bank Apps,0.01,4.89,0.01,4.89,7,2022
Fave,0.37,13,0.37,13,3,2022
Fave,0.18,7.73,0.18,7.73,4,2022
Fave,0.1,6.12,0.1,6.12,5,2022
Fave,0.12,6.94,0.12,6.94,6,2022
Fave,0.16,11.06,0.16,11.06,7,2022
Federal Bank App,0.54,109.25,0.54,109.25,1,2022
Federal Bank App,0.55,108.21,0.55,108.21,2,2022
Federal Bank Apps,2.45,360.96,2.45,360.96,3,2022
Federal Bank Apps,2.7,375.64,2.7,375.64,4,2022
Federal Bank Apps,3.42,474.12,3.42,474.12,5,2022
Federal Bank Apps,3.55,494.21,3.55,494.21,6,2022
Federal Bank Apps,3.85,539.55,3.85,539.55,7,2022
Fino Payments bank App,0.03,2.79,0.03,2.79,1,2022
Fino Payments bank App,0.03,3.25,0.03,3.25,2,2022
Fino Payments bank Apps,0.04,3.47,0.04,3.47,3,2022
Fino Payments bank Apps,0.04,3.26,0.04,3.26,4,2022
Fino Payments bank Apps,0.04,3.83,0.04,3.83,5,2022
Fino Payments bank Apps,0.05,3.17,0.05,3.17,6,2022
Fino Payments Bank Apps,0.06,4.26,0.06,4.26,7,2022
Finserv Markets,0.03,1.49,0.03,1.49,3,2022
Finserv Markets,0.01,1.06,0.01,1.06,4,2022
Finserv Markets,0.01,1.01,0.01,1.01,5,2022
Finshell Pay,0.07,3.69,0.07,3.69,1,2022
Finshell Pay,0.06,3.8,0.06,3.8,2,2022
Finshell Pay,0.08,4,0.08,4,3,2022
Finshell Pay,0.08,4.45,0.08,4.45,4,2022
Finshell Pay,0.09,4.68,0.09,4.68,5,2022
Finshell Pay,0.1,5.3,0.1,5.3,6,2022
GoIbibo,0.02,5.91,0.02,5.91,3,2022
GoIbibo,0.01,3.31,0.01,3.31,4,2022
GoIbibo,0.01,2.41,0.01,2.41,5,2022
GoIbibo,0.01,3.87,0.01,3.87,6,2022
GoIbibo,0.01,5.1,0.01,5.1,7,2022
Google Pay,"1,584.20","298,267.07","1,584.20","298,267.07",1,2022
Google Pay,"1,524.09","291,273.46","1,524.09","291,273.46",2,2022
Google Pay,"1,838.12","338,873.25","1,838.12","338,873.25",3,2022
Google Pay,"1,914.77","344,791.35","1,914.77","344,791.35",4,2022
Google Pay,"2,079.92","365,989.27","2,079.92","365,989.27",5,2022
Google Pay,"2,025.89","3,55,137.20","2,025.89","3,55,137.20",6,2022
Google Pay,"2,130.63","3,66,669.09","2,130.63","3,66,669.09",7,2022
Groww,0.83,472.71,0.83,472.71,3,2022
Groww,0.61,376.18,0.61,376.18,4,2022
Groww,0.51,335.28,0.51,335.28,5,2022
Groww,0.72,416.73,0.72,416.73,6,2022
Groww,0.49,290.31,0.49,290.31,7,2022
HDFC Bank Apps,4.94,"1,366.89",4.94,"1,366.89",1,2022
HDFC Bank Apps,4.59,"1,370.03",4.59,"1,370.03",2,2022
HDFC Bank Apps,5.45,"1,624.54",5.45,"1,624.54",3,2022
HDFC Bank Apps,5.9,"1,759.12",5.9,"1,759.12",4,2022
HDFC Bank Apps,6.95,"1,981.11",6.95,"1,981.11",5,2022
HDFC Bank Apps,8.24,"2,066.22",8.24,"2,066.22",6,2022
HDFC Bank Apps,9.38,"2,341.28",9.38,"2,341.28",7,2022
HSBC Bank App,0.08,54.47,0.08,54.57,1,2022
HSBC Bank App,0.08,52.94,0.08,52.97,2,2022
HSBC Bank Apps,0.1,61.85,0.1,62,3,2022
HSBC Bank Apps,0.11,59.7,0.11,59.72,4,2022
HSBC Bank Apps,0.1,63.07,0.1,63.17,5,2022
HSBC Bank Apps,0.11,61.38,0.11,61.39,6,2022
HSBC Bank Apps,0.11,68.43,0.11,68.47,7,2022
ICICI Bank Apps,29.87,"8,491.18",33.43,"8,707.05",1,2022
ICICI Bank Apps,27.39,"8,537.11",30.66,"8,727.44",2,2022
ICICI Bank Apps,31.49,"10,304.08",35.13,"10,538.69",3,2022
ICICI Bank Apps,32.82,"9,086.72",37.65,"9,356.17",4,2022
ICICI Bank Apps,32.75,"9,221.65",37.59,"11,056.90",5,2022
ICICI Bank Apps,35.25,"6,931.44",39.37,"10,202.14",6,2022
ICICI Bank Apps,32.53,"7,745.19",37.34,"11,509.29",7,2022
IDBI Bank App,0.02,12.54,0.02,12.54,1,2022
IDBI Bank App,0.02,14.6,0.02,14.6,2,2022
IDBI Bank Apps,0.03,16.25,0.03,16.25,3,2022
IDBI Bank Apps,0.03,16.78,0.03,16.78,4,2022
IDBI Bank Apps,0.03,18.48,0.03,18.48,5,2022
IDBI Bank Apps,0.03,15.71,0.03,15.71,6,2022
IDBI Bank Apps,0.03,16.42,0.03,16.42,7,2022
IDFC Bank App,1.22,316.37,1.22,316.37,1,2022
IDFC Bank App,1.21,321.93,1.21,321.93,2,2022
IDFC Bank Apps,2.7,534.56,2.7,534.56,3,2022
IDFC Bank Apps,2.49,532.69,2.49,532.69,4,2022
IDFC Bank Apps,4.75,626.34,4.75,626.34,5,2022
IDFC Bank Apps,7.03,663.65,7.03,663.65,6,2022
IDFC Bank Apps,8.28,645.34,8.28,645.34,7,2022
India Post Payments Bank App,2.65,309.42,2.65,309.42,1,2022
India Post Payments Bank App,2.21,268.9,2.21,268.9,2,2022
India Post Payments Bank Apps,2.95,321.14,2.95,321.14,3,2022
India Post Payments Bank Apps,2.8,328.53,2.8,328.53,4,2022
India Post Payments Bank Apps,3.1,351.88,3.1,351.88,5,2022
India Post Payments Bank Apps,3.98,467.34,3.98,467.34,6,2022
India Post Payments Bank Apps,4.08,480.59,4.08,480.59,7,2022
Indian Bank App,0.13,47.42,0.13,47.42,1,2022
Indian Bank App,0.11,42.07,0.11,42.07,2,2022
Indian Bank Apps,0.11,42.26,0.11,42.26,3,2022
Indian Bank Apps,0.14,49.9,0.14,49.9,4,2022
Indian Bank Apps,0.16,53.11,0.16,53.13,5,2022
Indian Bank Apps,0.17,53.3,0.17,53.68,6,2022
Indian Bank Apps,0.2,58.15,0.21,71.39,7,2022
Indian Overseas Bank Apps,0.01,1.62,0.01,1.62,3,2022
Indian Overseas Bank Apps,0.01,1.52,0.01,1.52,4,2022
Indian Overseas Bank Apps,0.01,2.35,0.01,2.35,5,2022
Indian Overseas Bank Apps,0.01,2.98,0.01,2.98,6,2022
Indian Overseas Bank Apps,0.01,3.74,0.01,3.74,7,2022
IndusInd Bank App,0.74,"1,218.79",0.74,"1,218.79",1,2022
IndusInd Bank App,0.77,"1,358.24",0.77,"1,358.24",2,2022
IndusInd Bank Apps,1.03,"2,252.30",1.03,"2,252.30",3,2022
IndusInd Bank Apps,1.02,"2,596.71",1.02,"2,596.71",4,2022
IndusInd Bank Apps,1.01,"1,711.21",1.01,"1,711.21",5,2022
IndusInd Bank Apps,1,"1,645.13",1,"1,645.13",6,2022
IndusInd Bank Apps,0.99,"1,652.26",0.99,"1,652.26",7,2022
Jammu and Kashmir Bank App,0.01,2.47,0.01,2.47,1,2022
Jammu and Kashmir Bank App,0.01,3.43,0.01,3.43,2,2022
Jammu and Kashmir Bank Apps,0.01,2.15,0.01,2.15,3,2022
Janata Sahakari Bank Apps,0.01,4.51,0.01,4.51,3,2022
Janata Sahakari Bank Apps,0.01,4.28,0.01,4.28,4,2022
Janata Sahakari Bank Apps,0.01,4.79,0.01,4.79,5,2022
Janata Sahakari Bank Apps,0.01,4.47,0.01,4.47,6,2022
Janata Sahakari Bank Apps,0.01,4.15,0.01,4.15,7,2022
Janta Sahakari Bank App,0.01,4.46,0.01,4.46,1,2022
Janta Sahakari Bank App,0.01,4.33,0.01,4.33,2,2022
Jio Payments Bank App,2.05,114.39,2.05,114.39,1,2022
Jio Payments Bank App,1.97,111.85,1.97,111.85,2,2022
Jio Payments Bank Apps,2.27,129.5,2.27,129.5,3,2022
Jio Payments Bank Apps,2.1,126.25,2.1,126.25,4,2022
Jio Payments Bank Apps,2.08,127.88,2.08,127.88,5,2022
Jio Payments Bank Apps,1.87,116.34,1.87,116.34,6,2022
Jio Payments Bank Apps,1.9,116.59,1.9,116.59,7,2022
Jupiter,1.32,164.8,1.32,164.8,3,2022
Jupiter,1.47,186.13,1.47,186.13,4,2022
Jupiter,1.79,215.44,1.79,215.44,5,2022
Jupiter,1.89,223.22,1.89,223.22,6,2022
Jupiter,2.1,254.14,2.1,254.14,7,2022
Jupiter Edge (LivQuick PPI App),0.01,0.43,0.01,0.43,4,2022
Jupiter Edge (LivQuick PPI),0.1,5.74,0.1,5.74,5,2022
Jupiter Edge (LivQuick PPI),0.13,8.72,0.13,8.72,6,2022
Jupiter Money,1.02,156.15,1.02,156.15,1,2022
Jupiter Money,1.13,140.79,1.13,140.79,2,2022
Karnataka Bank App,0.25,31.19,0.25,31.19,1,2022
Karnataka Bank App,0.25,31.35,0.25,31.35,2,2022
Karnataka Bank Apps,0.3,37.96,0.3,37.96,3,2022
Karnataka Bank Apps,0.27,35.58,0.27,35.58,4,2022
Karnataka Bank Apps,0.33,40.34,0.33,40.34,5,2022
Karnataka Bank Apps,0.32,43.13,0.32,43.13,6,2022
Karnataka Bank Apps,0.35,48.01,0.35,48.01,7,2022
Karur Vysya Bank App,0.04,17.37,0.04,17.37,1,2022
Karur Vysya Bank App,0.04,17.17,0.04,17.17,2,2022
Karur Vysya Bank Apps,0.04,18.29,0.04,18.29,3,2022
Karur Vysya Bank Apps,0.04,18.54,0.04,18.54,4,2022
Karur Vysya Bank Apps,0.04,17.69,0.04,17.69,5,2022
Karur Vysya Bank Apps,0.04,15.91,0.04,15.91,6,2022
Karur Vysya Bank Apps,0.04,15.66,0.04,15.66,7,2022
Kotak Mahindra Bank Apps,6.88,"1,333.06",6.88,"1,333.06",1,2022
Kotak Mahindra Bank Apps,6.91,"1,383.30",6.91,"1,383.30",2,2022
Kotak Mahindra Bank Apps,7.92,"1,587.51",7.92,"1,587.51",3,2022
Kotak Mahindra Bank Apps,7.96,"1,684.35",7.96,"1,684.35",4,2022
Kotak Mahindra Bank Apps,8.5,"1,882.81",8.5,"1,885.00",5,2022
Kotak Mahindra Bank Apps,8.33,"1,758.64",8.33,"1,762.28",6,2022
Kotak Mahindra Bank Apps,8.86,"1,815.87",8.86,"1,816.33",7,2022
MakeMy Trip,0.06,19.63,0.06,19.63,1,2022
MakeMy Trip,0.08,33.03,0.08,33.03,2,2022
MakeMyTrip,0.1,47.1,0.1,47.1,3,2022
MakeMyTrip,0.09,41.18,0.09,41.18,4,2022
MakeMyTrip,0.09,43.26,0.09,43.26,5,2022
MakeMyTrip,0.11,51.45,0.11,51.45,6,2022
MakeMyTrip,0.13,58.19,0.13,58.19,7,2022
MI Pay,0.27,40.51,0.27,40.51,1,2022
MI Pay,0.25,38.46,0.25,38.46,2,2022
MI Pay,0.24,36.02,0.24,36.02,3,2022
MI Pay,0.19,28.58,0.19,28.58,4,2022
MI Pay,0.2,33.9,0.2,33.9,5,2022
MI Pay,0.17,29.61,0.17,29.61,6,2022
MI Pay,0.16,26.98,0.16,26.98,7,2022
Mobikwik,3.87,886.55,3.87,886.55,1,2022
Mobikwik,3.78,755.89,3.78,755.89,2,2022
Mobikwik,3.6,739.25,3.6,739.25,3,2022
Mobikwik,2.37,421.47,2.37,421.47,4,2022
Mobikwik,2.46,397.7,2.46,397.7,5,2022
Mobikwik,2.31,404.63,2.31,404.63,6,2022
Mobikwik,2.48,462.17,2.48,462.17,7,2022
NSDL Payments Bank App,0.02,1.45,0.02,1.45,1,2022
NSDL Payments Bank App,0.02,1.77,0.02,1.77,2,2022
NSDL Payments Bank Apps,0.02,2.28,0.02,2.28,3,2022
NSDL Payments Bank Apps,0.02,2.32,0.02,2.32,4,2022
NSDL Payments Bank Apps,0.02,2.39,0.02,2.39,5,2022
NSDL Payments Bank Apps,0.02,2.44,0.02,2.44,6,2022
NSDL Payments Bank Apps,0.02,3.5,0.02,3.5,7,2022
Others,0.02,9.08,0.02,9.08,1,2022
Others,0.02,8.15,0.02,8.15,2,2022
Others,0.02,8.11,0.02,8.11,3,2022
Others,0.02,8.26,0.02,8.26,4,2022
Others,0.03,10.7,0.03,10.7,5,2022
Others,0.02,6.34,0.02,6.34,6,2022
Others,0.02,5.15,0.02,5.15,7,2022
Paytm Payments Bank App,615.9,"70,892.01",710.28,"85,125.97",1,2022
Paytm Payments Bank App,613.77,"72,204.32",706.77,"86,299.22",2,2022
Paytm Payments Bank App,729.63,"83,840.44",837.14,"95,650.36",3,2022
Paytm Payments Bank App,740.76,"85,918.88",851.61,"101,649.06",4,2022
Paytm Payments Bank App,780.87,"91,546.50",887.45,"108,276.78",5,2022
Paytm Payments Bank App,778.87,"89,388.78",877.5,"1,02,119.90",6,2022
Paytm Payments Bank App,828.63,"94,507.77",933.88,"1,11,149.66",7,2022
PhonePe,"2,140.28","405,173.78","2,140.28","405,173.78",1,2022
PhonePe,"2,120.20","407,640.11","2,120.20","407,640.11",2,2022
PhonePe,"2,527.15","471,401.26","2,527.15","471,401.26",3,2022
PhonePe,"2,616.26","486,557.03","2,616.26","486,557.03",4,2022
PhonePe,"2,778.75","511,028.81","2,778.75","511,028.81",5,2022
PhonePe,"2,732.59","5,01,474.48","2,732.59","5,01,474.48",6,2022
PhonePe,"2,993.83","5,24,742.49","2,993.83","5,24,742.49",7,2022
Punjab National Bank App,0.09,44.86,0.09,44.86,1,2022
Punjab National Bank App,0.08,43.49,0.08,43.49,2,2022
Punjab National Bank Apps,0.09,46.64,0.09,46.64,3,2022
Punjab National Bank Apps,0.09,46.27,0.09,46.27,4,2022
Punjab National Bank Apps,0.09,43.77,0.09,43.77,5,2022
Punjab National Bank Apps,0.08,40.68,0.08,40.68,6,2022
Punjab National Bank Apps,0.07,35.7,0.07,35.7,7,2022
Punjab Sind Bank Apps,0.01,3.8,0.01,3.8,3,2022
Punjab Sind Bank Apps,0.01,5.38,0.01,5.38,4,2022
Punjab Sind Bank Apps,0.01,6.39,0.01,6.39,5,2022
Punjab Sind Bank Apps,0.01,5.93,0.01,5.93,6,2022
Punjab Sind Bank Apps,0.01,4.03,0.01,4.03,7,2022
Punjab Sindh Bank App,0.01,2.87,0.01,2.87,1,2022
Punjab Sindh Bank Apps,0.01,2.66,0.01,2.66,2,2022
RBL Bank App,0.42,101.45,0.43,101.45,1,2022
RBL Bank App,0.51,107.25,0.51,107.25,2,2022
RBL Bank Apps,0.46,126.74,0.46,126.75,3,2022
RBL Bank Apps,0.3,113.65,0.3,113.65,4,2022
RBL Bank Apps,0.32,124.01,0.38,125.39,5,2022
RBL Bank Apps,0.35,121,0.42,123.89,6,2022
RBL Bank Apps,0.52,120.48,0.54,121.17,7,2022
Samsung Pay,3.17,431.07,3.17,431.07,1,2022
Samsung Pay,3.14,421.97,3.14,421.97,2,2022
Samsung Pay,3.73,473.5,3.73,473.5,3,2022
Samsung Pay,3.81,470.11,3.81,470.11,4,2022
Samsung Pay,4.11,490.3,4.11,490.3,5,2022
Samsung Pay,4.07,468.23,4.07,468.23,6,2022
Samsung Pay,4.05,472.39,4.05,472.39,7,2022
South Indian Bank App,0.13,41.4,0.13,41.4,1,2022
South Indian Bank App,0.12,38.69,0.12,38.69,2,2022
South Indian Bank Apps,0.13,44.63,0.13,44.63,3,2022
South Indian Bank Apps,0.13,45.03,0.13,45.03,4,2022
South Indian Bank Apps,0.14,49.73,0.14,49.73,5,2022
South Indian Bank Apps,0.14,46.66,0.14,46.66,6,2022
South Indian Bank Apps,0.15,46.97,0.15,46.97,7,2022
Standard Chartered Bank App,0.11,60.49,0.11,60.49,1,2022
Standard Chartered Bank App,0.12,64.7,0.12,64.7,2,2022
Standard Chartered Bank Apps,0.13,69.84,0.13,69.84,3,2022
Standard Chartered Bank Apps,0.12,68.15,0.12,68.15,4,2022
Standard Chartered Bank Apps,0.13,70.48,0.13,70.48,5,2022
Standard Chartered Bank Apps,0.13,69.13,0.13,69.13,6,2022
Standard Chartered Bank Apps,0.14,74.11,0.14,74.11,7,2022
State Bank of India Apps,3.62,"1,967.04",3.62,"1,967.05",1,2022
State Bank of India Apps,3.38,"1,863.42",3.38,"1,863.42",2,2022
State Bank of India Apps,4.01,"2,130.56",4.01,"2,130.56",3,2022
State Bank of India Apps,4.03,"2,118.00",4.03,"2,118.00",4,2022
State Bank of India Apps,4.18,"2,195.66",4.18,"2,195.66",5,2022
State Bank of India Apps,3.83,"1,947.10",3.83,"1,947.10",6,2022
State Bank of India Apps,4.15,"2,013.47",4.15,"2,013.47",7,2022
SuperPay,0.1,0.64,0.1,0.64,3,2022
SuperPay,0.02,0.4,0.02,0.4,4,2022
Tamilnad Mercantile Bank Apps,0.01,0.26,0.01,0.26,4,2022
Tamilnad Mercantile Bank Apps,0.01,1.13,0.01,1.13,5,2022
Tamilnad Mercantile Bank Apps,0.03,4.02,0.03,4.02,6,2022
Tamilnad Mercantile Bank Apps,0.05,6.78,0.05,6.78,7,2022
TataNeu,0.35,32.82,0.35,32.82,4,2022
TataNeu,0.22,30.33,0.22,30.33,5,2022
TataNeu,0.12,19.41,0.12,19.41,6,2022
TataNeu,0.11,17.26,0.11,17.26,7,2022
TJSB Bank Apps,0.01,2.1,0.01,2.1,6,2022
TJSB Bank Apps,0.01,2.26,0.01,2.26,7,2022
UCO Bank App,0.16,37.26,0.16,37.26,1,2022
UCO Bank App,0.16,35.05,0.16,35.05,2,2022
UCO Bank Apps,0.19,40.88,0.19,40.88,3,2022
UCO Bank Apps,0.21,41.48,0.21,41.48,4,2022
UCO Bank Apps,0.22,46.39,0.22,46.39,5,2022
UCO Bank Apps,0.22,42.3,0.22,42.3,6,2022
UCO Bank Apps,0.22,46.83,0.22,46.83,7,2022
Ultracash,2.14,177.63,2.14,177.63,1,2022
Ultracash,1.51,158.7,1.51,158.7,2,2022
Ultracash,0.03,1.12,0.03,1.12,3,2022
Ultracash,0.03,2.22,0.03,2.22,4,2022
Ultracash,0.05,4.4,0.05,4.4,5,2022
Ultracash,0.03,3.32,0.03,3.32,6,2022
Ultracash,0.03,2.08,0.03,2.08,7,2022
Union Bank Apps,0.39,182.27,0.39,182.27,1,2022
Union Bank Apps,0.35,166.72,0.35,166.72,2,2022
Union Bank Apps,0.41,197.01,0.41,197.01,3,2022
Union Bank Apps,0.42,198.34,0.42,198.34,4,2022
Union Bank Apps,0.45,211.85,0.45,211.85,5,2022
Union Bank Apps,0.45,199.8,0.45,199.8,6,2022
Union Bank Apps,0.49,208.03,0.49,208.03,7,2022
Utkarsh Small Finance Bank,0.01,2.42,0.01,2.42,2,2022
Utkarsh Small Finance Bank Apps,0.01,3.9,0.01,3.9,3,2022
